"knockout"	"is.neutral"	"n.out"	"loss.out"	"abundance.out"	"n.in"	"loss.in"	"abundance.in"	"log2fc"	"low.pval"	"high.pval"	"low.qval"	"high.qval"
"UMAG_05926"	FALSE	2150	0.826	6178.16091954023	1936	0.924	12736.8421052632	-0.187791143705597	0.191325495823795	0.809549946070482	0.286194606864066	1
"UMAG_05927"	FALSE	17170	0.8045	43913.0434782609	15080	0.9215	96050.9554140127	-0.273183306184938	0.0950620849566681	0.905006234927639	0.176144451537356	1
"UMAG_05930"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_05931"	FALSE	12959	0.8115	34374.0053050398	11407	0.916	67898.8095238096	-0.126101182027858	0.27757920913764	0.722606093046777	0.376843086263033	1
"UMAG_05953"	FALSE	1183	0.805	3033.33333333333	1147	0.9205	7213.83647798743	-0.393895544643977	0.0353853812774518	0.965040201939975	0.0769940623679728	1
"UMAG_05988"	FALSE	2793	0.797	6879.31034482759	2294	0.897	11135.9223300971	0.161081923759485	0.808200912841045	0.192535436701951	0.877873405327342	1
"UMAG_06064"	FALSE	5157	0.874	20464.2857142857	7545	0.9275	52034.4827586207	-0.490392557202493	0.0102039133344842	0.989830648394602	0.0283608767679045	1
"UMAG_06113"	FALSE	2687	0.82	7463.88888888889	6768	0.9295	48000	-1.82906785954035	9.9904541741002e-15	0.99999999999999	1.71654167173176e-13	1
"UMAG_06146"	FALSE	1442	0.8445	4636.65594855306	2057	0.94	17141.6666666666	-1.03038367230888	2.49010444971926e-06	0.999997556848742	1.6808205035605e-05	1
"UMAG_06158"	FALSE	2249	0.8025	5693.67088607595	2669	0.9245	17675.4966887417	-0.77835261660622	0.000190360680178953	0.999811596747308	0.000972382933887085	1
"UMAG_06178"	FALSE	10221	0.7905	24393.7947494033	10382	0.9065	55518.7165775402	-0.330492881888725	0.0569199468619047	0.943156481523873	0.114445425073404	1
"UMAG_06179"	FALSE	5842	0.8515	19670.0336700337	5839	0.9115	32988.7005649717	0.109994607816246	0.729891221181557	0.270535133790831	0.820216847990668	1
"UMAG_06180"	FALSE	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA
"UMAG_06222"	FALSE	1602	0.839	4975.1552795031	2722	0.932	20014.7058823529	-1.15227982446224	1.96174738142056e-07	0.999999807425379	1.6853193413113e-06	1
"UMAG_06223"	FALSE	9006	0.812	23952.1276595745	15352	0.915	90305.8823529412	-1.05869901789615	8.67192633057355e-07	0.999999135612515	6.5559763059136e-06	1
"UMAG_06428"	FALSE	14500	0.8095	38057.7427821523	18597	0.925	123980	-0.847878375077128	4.61863237026059e-05	0.999953894446564	0.000256741622935074	1
"UMAG_06440"	FALSE	23982	0.831	70952.6627218935	31865	0.924	209638.157894737	-0.707005473499185	0.000473557179665298	0.999526888159672	0.00213100730849384	1
"UMAG_10024"	FALSE	26156	0.7945	63639.902676399	23794	0.9085	130021.857923497	-0.174783508551388	0.202508796603961	0.797567786639985	0.295247838516693	1
"UMAG_10030"	FALSE	1799	0.8345	5435.04531722054	1536	0.917	9253.01204819278	0.0883361265673503	0.68841226215294	0.313027935071269	0.798220353048501	1
"UMAG_10067"	FALSE	3804	0.8005	9533.83458646616	2647	0.912	15039.7727272727	0.198312865277433	0.857708131843487	0.142743361910928	0.921061573400109	1
"UMAG_10076"	FALSE	2688	0.796	6588.23529411765	2054	0.9065	10983.9572192513	0.118533205874023	0.74205049847512	0.258844369043355	0.820216847990668	1
